numero_estacion,nombre,latitud,longitud
1,Ayuntamiento,43.321796,-1.985112
2,Andia,43.320526,-1.982469
3,Arrasate,43.318356,-1.981653
4,Paseo Francia,43.318637,-1.977319
5,Easo,43.31328,-1.98174
6,Pio XII,43.307468,-1.978738
7,Riberas,43.309983,-1.971539
8,Isabel II,43.304236,-1.976203
9,Anoeta,43.302231,-1.975082
10,Av. Zarautz,43.3125157,-2.005941
11,Magisterio,43.311939,-2.00869
12,Universidades,43.309012,-2.010429
13,Lugaritz,43.302496,-2.001486
14,Plaza Cataluña,43.324075,-1.973489
15,San Francisco,43.325755,-1.971129
16,Intxaurrondo,43.313203,-1.956611
